"순위","이름","타율","게임수","타석","타수","득점","총안타","1루타","2루타","3루타","홈런","루타","타점","도루","도실 (도루자)","희타","희비","볼넷","고의 4구","사구","삼진","병살","장타율","출루율","도루 성공률","멀티 히트","OPS","BB/K","장타/안타"
"1","이준민(2)","1.000","1","3","3","2","3","0","1","1","1","9","7","0","0","0","0","0","0","0","0","0","3.000","1.000","0.000","1","4.000","0.00","1.000"
"2","김동호(15)","0.800","1","5","5","3","4","2","2","0","0","6","4","1","0","0","0","0","0","0","0","0","1.200","0.800","1.000","1","2.000","0.00","0.500"
"3","박태현(27)","0.529","9","18","17","7","9","6","3","0","0","12","4","9","0","0","0","1","0","0","1","0","0.706","0.556","1.000","3","1.262","1.00","0.333"
"4","박인우(1)","0.500","3","3","2","1","1","0","1","0","0","2","0","0","0","0","0","1","0","0","0","0","1.000","0.667","0.000","0","1.667","0.00","1.000"
"4","김준성(0)","0.500","1","3","2","2","1","1","0","0","0","1","2","2","0","0","0","0","0","1","0","0","0.500","0.667","1.000","0","1.167","0.00","0.000"
"5","서동화(44)","0.474","9","24","19","11","9","6","3","0","0","12","9","10","0","0","1","3","0","1","3","0","0.632","0.542","1.000","4","1.174","1.00","0.333"
"6","김민재(25)","0.464","10","34","28","10","13","4","9","0","0","22","13","7","0","0","0","5","0","1","6","0","0.786","0.559","1.000","5","1.345","0.83","0.692"
"7","장지웅(17)","0.407","13","43","27","16","11","8","2","1","0","15","11","15","0","0","0","14","0","2","5","1","0.556","0.628","1.000","1","1.184","2.80","0.273"
"8","김인수(90)","0.385","12","38","26","18","10","6","2","2","0","16","8","19","0","0","0","10","0","2","5","0","0.615","0.579","1.000","3","1.194","2.00","0.400"
"9","정재환(35)","0.375","10","30","24","13","9","6","1","2","0","14","11","9","0","0","1","4","0","1","6","0","0.583","0.467","1.000","3","1.050","0.67","0.333"
"10","신승현(58)","0.357","6","17","14","4","5","4","1","0","0","6","7","2","0","0","0","3","0","0","4","0","0.429","0.471","1.000","1","0.900","0.75","0.200"
"11","배요한(12)","0.333","12","33","24","13","8","2","5","1","0","15","9","13","0","0","0","9","0","0","5","0","0.625","0.515","1.000","1","1.140","1.80","0.750"
"11","김동훈(14)","0.333","12","35","27","11","9","3","5","0","1","17","12","9","0","0","1","5","0","2","13","0","0.630","0.457","1.000","2","1.087","0.38","0.667"
"11","강대규(55)","0.333","5","13","12","2","4","3","1","0","0","5","1","2","0","0","0","1","0","0","5","0","0.417","0.385","1.000","1","0.802","0.20","0.250"
"12","김영우(3)","0.286","10","30","28","9","8","8","0","0","0","8","7","7","0","0","0","1","0","1","3","0","0.286","0.333","1.000","3","0.619","0.33","0.000"
"13","방제민(11)","0.276","13","36","29","13","8","6","2","0","0","10","9","16","0","0","0","3","0","4","4","0","0.345","0.417","1.000","1","0.762","0.75","0.250"
"14","박현규(49)","0.250","6","11","8","4","2","2","0","0","0","2","4","2","0","0","0","2","0","1","3","0","0.250","0.455","1.000","0","0.705","0.67","0.000"
"14","김승종(50)","0.250","10","25","20","10","5","4","1","0","0","6","5","5","0","0","0","5","0","0","11","0","0.300","0.400","1.000","1","0.700","0.45","0.200"
"15","조윤수(47)","0.211","9","24","19","4","4","3","1","0","0","5","4","7","0","0","1","4","0","0","1","0","0.263","0.333","1.000","0","0.596","4.00","0.250"
"16","여병욱(38)","0.167","3","7","6","2","1","1","0","0","0","1","1","1","0","0","0","1","0","0","1","0","0.167","0.286","1.000","0","0.453","1.00","0.000"
"17","한지성(51)","0.161","17","37","31","4","5","4","0","0","1","8","5","5","0","0","0","6","0","0","19","0","0.258","0.297","1.000","0","0.555","0.32","0.200"
"18","김태훈(10)","0.083","10","13","12","4","1","1","0","0","0","1","2","3","0","0","1","0","0","0","3","0","0.083","0.077","1.000","0","0.160","0.00","0.000"
"19","이동환(99)","0.071","6","18","14","6","1","1","0","0","0","1","1","2","0","0","0","3","0","1","7","0","0.071","0.278","1.000","0","0.349","0.43","0.000"
"20","오병준(7)","0.000","3","7","5","1","0","0","0","0","0","0","0","3","0","0","0","2","0","0","2","0","0.000","0.286","1.000","0","0.286","1.00","0"
"20","안한수(0)","0.000","1","2","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0.000","0.000","1.000","0","0.000","0.00","0"
"20","박정택(20)","0.000","1","2","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0.000","0.500","0.000","0","0.500","0.00","0"
"20","이승재(0)","0.000","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0","0.000","0.00","0"
"20","장석진(0)","0.000","1","2","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0.000","1.000","1.000","0","1.000","0.00","0"
"20","조경원(0)","0.000","2","4","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0.000","0.250","0.000","0","0.250","0.50","0"
"20","이동욱(0)","0.000","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0","0.000","0.00","0"
"20","서우진(0)","0.000","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0.000","1.000","0.000","0","1.000","0.00","0"
"20","고은석(18)","0.000","1","3","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0.000","0.000","0.000","0","0.000","0.00","0"
"20","강찬(36)","0.000","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0","0.000","0.00","0"
