"순위","이름","타율","게임수","타석","타수","득점","총안타","1루타","2루타","3루타","홈런","루타","타점","도루","도실 (도루자)","희타","희비","볼넷","고의 4구","사구","삼진","병살","장타율","출루율","도루 성공률","멀티 히트","OPS","BB/K","장타/안타"
"1","박현규(49)","1.000","2","2","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1.000","1.000","0.000","0","2.000","0.00","0.000"
"1","이동환(99)","1.000","2","1","1","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1.000","1.000","1.000","0","2.000","0.00","0.000"
"1","박인우(1)","1.000","1","2","1","1","1","1","0","0","0","1","0","1","0","0","0","0","0","1","0","0","1.000","1.000","1.000","0","2.000","0.00","0.000"
"2","이준민(2)","0.586","25","76","58","30","34","11","11","9","3","72","42","10","0","0","1","17","0","0","8","0","1.241","0.671","1.000","11","1.912","2.13","0.676"
"3","김동호(15)","0.469","17","49","32","22","15","11","4","0","0","19","15","19","0","0","2","15","0","0","1","0","0.594","0.612","1.000","3","1.206","15.00","0.267"
"4","장지웅(17)","0.387","14","44","31","15","12","12","0","0","0","12","3","13","0","0","0","11","0","2","3","0","0.387","0.568","1.000","5","0.955","3.67","0.000"
"5","길화종(9)","0.364","16","26","22","6","8","8","0","0","0","8","5","2","0","0","0","4","0","0","8","0","0.364","0.462","1.000","0","0.826","0.50","0.000"
"5","배요한(12)","0.364","9","16","11","4","4","4","0","0","0","4","2","7","0","0","1","4","0","0","1","0","0.364","0.500","1.000","0","0.864","4.00","0.000"
"6","김서진(6)","0.357","21","55","42","15","15","10","5","0","0","20","12","16","0","0","0","6","0","7","9","0","0.476","0.509","1.000","4","0.985","0.67","0.333"
"7","고은석(18)","0.350","8","23","20","8","7","5","1","1","0","10","5","2","0","0","0","2","0","1","2","0","0.500","0.435","1.000","1","0.935","1.00","0.286"
"8","박정택(20)","0.346","13","28","26","7","9","7","2","0","0","11","5","5","0","0","0","2","0","0","8","0","0.423","0.393","1.000","3","0.816","0.25","0.222"
"9","박태현(27)","0.344","13","37","32","13","11","8","2","1","0","15","7","14","1","0","0","5","0","0","6","0","0.469","0.432","0.933","3","0.901","0.83","0.273"
"10","조윤수(47)","0.333","7","18","12","8","4","3","0","1","0","6","3","2","0","0","0","6","0","0","5","0","0.500","0.556","1.000","0","1.056","1.20","0.250"
"11","강찬(36)","0.318","13","30","22","12","7","3","2","2","0","13","10","7","0","0","1","6","0","1","9","0","0.591","0.467","1.000","3","1.058","0.67","0.571"
"12","김영우(3)","0.290","14","37","31","12","9","7","1","1","0","12","9","11","0","0","0","6","0","0","4","0","0.387","0.405","1.000","2","0.792","1.50","0.222"
"13","이병희(21)","0.286","9","19","14","5","4","4","0","0","0","4","2","2","1","0","0","3","0","2","4","1","0.286","0.474","0.667","0","0.760","0.75","0.000"
"13","강대규(55)","0.286","4","8","7","2","2","2","0","0","0","2","3","1","0","0","0","1","0","0","4","0","0.286","0.375","1.000","0","0.661","0.25","0.000"
"13","오병준(7)","0.286","8","17","14","4","4","4","0","0","0","4","2","1","0","0","0","3","0","0","3","0","0.286","0.412","1.000","2","0.698","1.00","0.000"
"14","한지성(51)","0.241","20","37","29","11","7","6","1","0","0","8","4","15","0","0","0","8","0","0","18","0","0.276","0.405","1.000","2","0.681","0.44","0.143"
"15","김민재(25)","0.235","7","20","17","4","4","3","1","0","0","5","3","5","0","0","0","2","0","1","4","0","0.294","0.350","1.000","0","0.644","0.50","0.250"
"16","방제민(11)","0.214","15","25","14","7","3","3","0","0","0","3","4","11","0","0","0","6","0","5","1","0","0.214","0.560","1.000","0","0.774","6.00","0.000"
"17","김동훈(14)","0.211","13","27","19","6","4","3","0","1","0","6","3","8","0","0","0","6","0","2","12","0","0.316","0.444","1.000","0","0.760","0.50","0.250"
"18","정재환(35)","0.200","10","26","20","6","4","3","1","0","0","5","7","7","0","0","0","6","0","0","7","0","0.250","0.385","1.000","1","0.635","0.86","0.250"
"19","김응진(33)","0.167","14","33","24","5","4","2","2","0","0","6","4","8","0","0","1","7","0","1","12","0","0.250","0.364","1.000","1","0.614","0.58","0.500"
"20","김태훈(10)","0.154","10","19","13","6","2","2","0","0","0","2","3","3","0","0","0","5","0","1","5","0","0.154","0.421","1.000","0","0.575","1.00","0.000"
"21","김인수(90)","0.111","5","13","9","3","1","1","0","0","0","1","2","2","0","0","0","3","0","1","5","0","0.111","0.385","1.000","0","0.496","0.60","0.000"
"22","신승현(58)","0.100","16","29","20","8","2","2","0","0","0","2","4","3","0","0","0","7","0","2","9","0","0.100","0.379","1.000","1","0.479","0.78","0.000"
"23","김승종(50)","0.083","6","15","12","1","1","1","0","0","0","1","3","0","0","0","0","2","0","1","7","0","0.083","0.267","0.000","0","0.350","0.29","0.000"
"24","서동화(44)","0.000","4","7","3","3","0","0","0","0","0","0","1","2","0","0","0","4","0","0","0","0","0.000","0.571","1.000","0","0.571","0.00","0"
