"순위","이름","타율","게임수","타석","타수","득점","총안타","1루타","2루타","3루타","홈런","루타","타점","도루","도실 (도루자)","희타","희비","볼넷","고의 4구","사구","삼진","병살","장타율","출루율","도루 성공률","멀티 히트","OPS","BB/K","장타/안타"
"1","정현수(11)","0.750","3","6","4","2","3","2","1","0","0","4","1","0","0","0","0","2","0","0","0","0","1.000","0.833","0.000","1","1.833","0.00","0.333"
"2","오세윤(99)","0.571","8","28","21","13","12","11","1","0","0","13","9","5","0","0","0","6","0","1","2","0","0.619","0.679","1.000","4","1.298","3.00","0.083"
"3","노주영(52)","0.563","5","21","16","8","9","5","3","1","0","14","3","1","0","0","0","5","0","0","2","0","0.875","0.667","1.000","3","1.542","2.50","0.444"
"4","조준영(30)","0.500","4","10","8","4","4","3","1","0","0","5","4","2","0","0","0","2","0","0","2","0","0.625","0.600","1.000","1","1.225","1.00","0.250"
"4","이상윤(31)","0.500","5","15","10","7","5","5","0","0","0","5","4","8","0","0","1","3","0","1","1","0","0.500","0.600","1.000","1","1.100","3.00","0.000"
"5","강현찬(51)","0.458","8","26","24","9","11","6","5","0","0","16","17","6","0","0","1","1","0","0","1","0","0.667","0.462","1.000","3","1.129","1.00","0.455"
"6","정종민(97)","0.391","10","34","23","11","9","8","1","0","0","10","13","9","1","0","0","6","0","5","5","0","0.435","0.588","0.900","1","1.023","1.20","0.111"
"6","이재익(36)","0.391","9","32","23","14","9","7","1","1","0","12","8","9","1","0","1","3","0","5","2","0","0.522","0.531","0.900","2","1.053","1.50","0.222"
"7","박석준(62)","0.375","8","21","16","10","6","4","2","0","0","8","4","8","0","0","0","4","0","1","5","0","0.500","0.524","1.000","2","1.024","0.80","0.333"
"7","조문제(17)","0.375","10","36","24","17","9","5","3","1","0","14","10","11","0","0","1","9","0","2","7","0","0.583","0.556","1.000","3","1.139","1.29","0.444"
"8","조인택(89)","0.333","6","8","6","2","2","1","1","0","0","3","2","0","0","0","0","2","0","0","3","0","0.500","0.500","0.000","0","1.000","0.67","0.500"
"9","류재열(6)","0.286","2","9","7","2","2","2","0","0","0","2","5","3","0","0","1","1","0","0","0","0","0.286","0.333","1.000","0","0.619","0.00","0.000"
"10","장창환(29)","0.250","10","17","16","2","4","3","1","0","0","5","2","0","0","0","0","1","0","0","5","0","0.313","0.294","0.000","1","0.607","0.20","0.250"
"11","정장일(10)","0.143","10","29","21","5","3","3","0","0","0","3","4","7","0","0","0","6","0","2","6","0","0.143","0.379","1.000","1","0.522","1.00","0.000"
"11","이상범(3)","0.143","8","16","14","1","2","1","1","0","0","3","4","1","0","0","0","1","0","1","6","1","0.214","0.250","1.000","1","0.464","0.17","0.500"
"12","백동진(57)","0.100","4","13","10","3","1","1","0","0","0","1","0","3","1","0","0","2","0","1","4","0","0.100","0.308","0.750","0","0.408","0.50","0.000"
"13","심재훈(1007)","0.077","8","15","13","1","1","1","0","0","0","1","0","1","1","0","0","1","0","1","9","0","0.077","0.200","0.500","0","0.277","0.11","0.000"
