"순위","이름","타율","게임수","타석","타수","득점","총안타","1루타","2루타","3루타","홈런","루타","타점","도루","도실 (도루자)","희타","희비","볼넷","고의 4구","사구","삼진","병살","장타율","출루율","도루 성공률","멀티 히트","OPS","BB/K","장타/안타"
"1","노주영(52)","0.556","4","9","9","1","5","3","1","1","0","8","5","1","0","0","0","0","0","0","3","0","0.889","0.556","1.000","1","1.445","0.00","0.400"
"2","이상윤(31)","0.529","8","21","17","9","9","5","3","1","0","14","12","9","0","0","0","4","0","0","0","0","0.824","0.619","1.000","3","1.443","0.00","0.444"
"3","박석준(62)","0.500","7","23","16","8","8","6","1","1","0","11","13","8","1","0","3","3","0","1","1","0","0.688","0.522","0.889","3","1.210","3.00","0.250"
"4","오세윤(99)","0.412","7","20","17","6","7","2","5","0","0","12","7","3","0","0","0","3","0","0","1","0","0.706","0.500","1.000","2","1.206","3.00","0.714"
"5","이재익(36)","0.409","9","30","22","11","9","6","3","0","0","12","4","8","0","0","1","4","0","3","3","1","0.545","0.533","1.000","3","1.078","1.33","0.333"
"6","강현찬(51)","0.389","7","18","18","4","7","6","1","0","0","8","5","1","1","0","0","0","0","0","6","0","0.444","0.389","0.500","2","0.833","0.00","0.143"
"7","정장일(10)","0.368","9","23","19","5","7","5","2","0","0","9","4","5","0","0","1","2","0","1","7","0","0.474","0.435","1.000","2","0.909","0.29","0.286"
"8","정종민(97)","0.333","5","9","9","3","3","2","1","0","0","4","1","1","0","0","0","0","0","0","5","0","0.444","0.333","1.000","0","0.777","0.00","0.333"
"9","백동진(57)","0.316","8","23","19","8","6","2","4","0","0","10","3","1","0","0","0","3","0","1","3","0","0.526","0.435","1.000","1","0.961","1.00","0.667"
"10","조문제(17)","0.273","9","27","22","9","6","4","2","0","0","8","1","3","0","0","0","5","0","0","6","0","0.364","0.407","1.000","1","0.771","0.83","0.333"
"11","조준영(30)","0.235","8","20","17","2","4","4","0","0","0","4","3","5","0","0","0","1","0","2","5","1","0.235","0.350","1.000","1","0.585","0.20","0.000"
"12","이준백(100)","0.222","6","12","9","3","2","1","1","0","0","3","2","3","0","0","1","2","0","0","1","0","0.333","0.333","1.000","1","0.666","2.00","0.500"
"13","김민석(13)","0.200","5","6","5","2","1","1","0","0","0","1","1","1","0","0","0","0","0","1","1","0","0.200","0.333","1.000","0","0.533","0.00","0.000"
"14","황선주(71)","0.167","6","7","6","2","1","1","0","0","0","1","0","2","0","0","0","1","0","0","5","0","0.167","0.286","1.000","0","0.453","0.20","0.000"
"15","이상범(3)","0.125","7","10","8","0","1","1","0","0","0","1","0","1","0","0","0","2","0","0","5","0","0.125","0.300","1.000","0","0.425","0.40","0.000"
